PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Daley, J				Daley, Jim			Gene Therapy Arrives	SCIENTIFIC AMERICAN			English	Article								The idea for gene therapy-a type of DNA-based medicine that inserts a healthy gene into cells to replace a mutated, diseasecausing variant-was first published in 1972. After decades of disputed results, treatment failures and some deaths in experimental trials, the first gene therapy drug, for a type of skin cancer, was approved in China in 2003. The rest of the world was not easily convinced of the benefits, however, and it was not until 2017 that the U.S. approved one of these medicines. Since then, the pace of approvals has accelerated quickly. At least nine gene therapies have been approved for certain kinds of cancer, some viral infections and a few inherited disorders. A related drug type interferes with faulty genes by using stretches of DNA or RNA to hinder their workings. After nearly half a century, the concept of genetic medicine has become a reality. GENE INSERTION These treatments use a harmless virus to carry a good gene into cells, where the virus inserts it into the existing genome, canceling the effects of harmful mutations in another gene.										0	0	0	2	7	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0036-8733	1946-7087		SCI AM	Sci.Am.	JAN	2020	322	1					S12	S13					3	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	QX0BS	WOS:000629015100004					2022-03-28	
J	Nitzan, M; Karaiskos, N; Friedman, N; Rajewsky, N				Nitzan, Mor; Karaiskos, Nikos; Friedman, Nir; Rajewsky, Nikolaus			Gene expression cartography	NATURE			English	Article							SPATIAL RECONSTRUCTION; SEQ; TECHNOLOGY	Multiplexed RNA sequencing in individual cells is transforming basic and clinical life sciences(1-4). Often, however, tissues must first be dissociated, and crucial information about spatial relationships and communication between cells is thus lost. Existing approaches to reconstruct tissues assign spatial positions to each cell, independently of other cells, by using spatial patterns of expression of marker genes(5,6)-which often do not exist. Here we reconstruct spatial positions with little or no prior knowledge, by searching for spatial arrangements of sequenced cells in which nearby cells have transcriptional profiles that are often (but not always) more similar than cells that are farther apart. We formulate this task as a generalized optimal-transport problem for probabilistic embedding and derive an efficient iterative algorithm to solve it. We reconstruct the spatial expression of genes in mammalian liver and intestinal epithelium, fly and zebrafish embryos, sections from the mammalian cerebellum and whole kidney, and use the reconstructed tissues to identify genes that are spatially informative. Thus, we identify an organization principle for the spatial expression of genes in animal tissues, which can be exploited to infer meaningful probabilities of spatial position for individual cells. Our framework ('novoSpaRc') can incorporate prior spatial information and is compatible with any single-cell technology. Additional principles that underlie the cartography of gene expression can be tested using our approach.	[Nitzan, Mor] Harvard Univ, John A Paulson Sch Engn & Appl Sci, Cambridge, MA 02138 USA; [Nitzan, Mor] Broad Inst MIT & Harvard, Cambridge, MA 02142 USA; [Nitzan, Mor; Friedman, Nir] Hebrew Univ Jerusalem, Sch Comp Sci & Engn, Jerusalem, Israel; [Karaiskos, Nikos; Rajewsky, Nikolaus] Helmholtz Assoc, Max Delbruck Ctr Mol Med, Berlin Inst Med Syst Biol, Syst Biol Gene Regulatory Elements, Berlin, Germany; [Friedman, Nir] Hebrew Univ Jerusalem, Inst Life Sci, Jerusalem, Israel		Friedman, N (corresponding author), Hebrew Univ Jerusalem, Sch Comp Sci & Engn, Jerusalem, Israel.; Rajewsky, N (corresponding author), Helmholtz Assoc, Max Delbruck Ctr Mol Med, Berlin Inst Med Syst Biol, Syst Biol Gene Regulatory Elements, Berlin, Germany.; Friedman, N (corresponding author), Hebrew Univ Jerusalem, Inst Life Sci, Jerusalem, Israel.	nir.friedman@mail.huji.ac.il; rajewsky@mdc-berlin.de	Karaiskos, Nikos/AAB-6838-2022; Friedman, Nir/H-9692-2012	Karaiskos, Nikos/0000-0001-7771-3947; Friedman, Nir/0000-0002-9678-3550; Rajewsky, Nikolaus/0000-0002-4785-4332; Nitzan, Mor/0000-0003-0074-9196	Israeli Science Foundation, through the I-CORE program; Alexander von Humboldt Foundation Research AwardAlexander von Humboldt Foundation; DFG/GZ (Geschaftszeichen) [DFG/GZ (Geschaftszeichen): RA 838/8-2, DFG/GZ: KA 5006/1-1, HGF Neurocure/GZ 0036-Phase 2-3]; James S. McDonnell Foundation; Schmidt Futures; Israel Council for Higher Education; John Harvard Distinguished Science Fellows Program within the FAS Division of Science of Harvard University	We thank A. Murray, A. Regev, T. Gregor, P. Rigollet, all members of our labs and many colleagues in the field for valuable comments and discussions. We thank L. Friedman for help with graphic design and illustration. This work was supported by the Israeli Science Foundation, through the I-CORE program (N.F.) and an Alexander von Humboldt Foundation Research Award (N.F.). N.K. was supported by grants DFG/GZ (Geschaftszeichen): RA 838/8-2 and DFG/GZ: KA 5006/1-1; and HGF Neurocure/GZ 0036-Phase 2-3. M.N. was supported by the James S. McDonnell Foundation, Schmidt Futures, the Israel Council for Higher Education and the John Harvard Distinguished Science Fellows Program within the FAS Division of Science of Harvard University. N.R. thanks Anna-Carina for useful discussions.		27	71	71	9	37	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	0028-0836	1476-4687		NATURE	Nature	DEC 5	2019	576	7785					132	+		10.1038/s41586-019-1773-3			24	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	JU3SS	WOS:000501599200053	31748748				2022-03-28	
J	Philippidis, A				Philippidis, Alex			Gene Therapy Briefs	HUMAN GENE THERAPY CLINICAL DEVELOPMENT			English	Article																		7	0	0	0	0	MARY ANN LIEBERT, INC	NEW ROCHELLE	140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA	2324-8637	2324-8645		HUM GENE THER CL DEV	Hum. Gene Ther. Clin. Dev.	SEP	2017	28	3					117	120		10.1089/humc.2017.29027.bfs			4	Biotechnology & Applied Microbiology; Critical Care Medicine; Medicine, Research & Experimental	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology; General & Internal Medicine; Research & Experimental Medicine	FU7IR	WOS:000424026300001	28876135				2022-03-28	
J	Szabad, J				Szabad Janos			Pre-programmed genes	ORVOSI HETILAP			Hungarian	Article						non-mendalian genetics; reciprocal cross; genetic imprinting; monoallelic inheritance; environmental effects	DNA METHYLATION; TRANSMISSION; GENERATIONS; BEHAVIOR; SMOKING	Cells feel good and carry on perfect functions when they contain the right types of proteins in the right concentration, at the right time and sites. There are mechanisms that ensure the right level of gene expression in the different cell types: the formation of protein molecules based on the DNA-encoded genetic information. Gene expression can also be regulated through the compactness of chromatin, i.e. the accessibility of the genes. The chromosomes are repositories of the genetic information - the sequence of base pairs - and also of the so-called epigenetic mechanisms that control gene expression through the regulation of chromatin compactness. The epigenetic mechanisms operate through DNA methylation and/or the regulation of chromatin compactness. The present overview takes a look into the phenomenon of epigenesis. It summarizes how genetic crosses reveal the involvement of epigenesis, explains its meaning and impact on life of the organisms. An understanding of epigenesis provides guidance to improve our life.	[Szabad Janos] Szegedi Tud Egyet, Altalanos Orvostud Kar, Orvosi Biol Int, Szeged, Hungary		Szabad, J (corresponding author), Somogyi U 4, H-6720 Szeged, Hungary.	szabad.janos@med.u-szeged.hu						13	0	0	0	3	AKADEMIAI KIADO RT	BUDAPEST	PRIELLE K U 19, PO BOX 245,, H-1117 BUDAPEST, HUNGARY	0030-6002	1788-6120		ORVOSI HETILAP	Orvosi Hetilap	AUG	2017	158	34					1323	1330		10.1556/650.2017.30837			8	Medicine, General & Internal	Science Citation Index Expanded (SCI-EXPANDED)	General & Internal Medicine	FF1HS	WOS:000408651100001	28823208	Green Accepted			2022-03-28	
J	Fraser, A				Fraser, Andrew			Essential Human Genes	CELL SYSTEMS			English	Editorial Material									[Fraser, Andrew] Univ Toronto, Toronto, ON M5S 3E1, Canada		Fraser, A (corresponding author), Univ Toronto, Toronto, ON M5S 3E1, Canada.	andyfraser.utoronto@gmail.com		Fraser, Andrew/0000-0001-9939-6014				13	14	14	0	3	CELL PRESS	CAMBRIDGE	600 TECHNOLOGY SQUARE, 5TH FLOOR, CAMBRIDGE, MA 02139 USA	2405-4712	2405-4720		CELL SYST	Cell Syst.	DEC 23	2015	1	6					381	382		10.1016/j.cels.2015.12.007			2	Biochemistry & Molecular Biology; Cell Biology	Science Citation Index Expanded (SCI-EXPANDED)	Biochemistry & Molecular Biology; Cell Biology	V47BF	WOS:000209926600004	27136352	Bronze			2022-03-28	
J	Berkhout, B				Berkhout, Ben			Gene expression switches	HUMAN GENE THERAPY			English	Meeting Abstract	ESGCT and NVGCT Collaborative Congress	OCT 23-26, 2014	The Hague, NETHERLANDS	European Soc Gene & Cell Therapy, Netherlands Soc Gene & Cell Therapy					[Berkhout, Ben] Univ Amsterdam, NL-1012 WX Amsterdam, Netherlands									0	0	0	0	1	MARY ANN LIEBERT, INC	NEW ROCHELLE	140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA	1043-0342	1557-7422		HUM GENE THER	Hum. Gene Ther.	NOV 1	2014	25	11				INV011	A4	A4					1	Biotechnology & Applied Microbiology; Genetics & Heredity; Medicine, Research & Experimental	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Biotechnology & Applied Microbiology; Genetics & Heredity; Research & Experimental Medicine	AT2OR	WOS:000344774700008					2022-03-28	
J	[Anonymous]				[Anonymous]			Gene gets Bronze	TRAC-TRENDS IN ANALYTICAL CHEMISTRY			English	News Item																		0	0	0	0	0	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0165-9936			TRAC-TREND ANAL CHEM	Trac-Trends Anal. Chem.	MAY	2011	30	5					VII	VII					1	Chemistry, Analytical	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry	771CT	WOS:000291135500007					2022-03-28	
J	Baanannou, A; Rastegar, S; Bouzid, A; Takamiya, M; Gerber, V; Souissi, A; Beil, T; Jrad, O; Straehle, U; Masmoudi, S				Baanannou, Aissette; Rastegar, Sepand; Bouzid, Amal; Takamiya, Masanari; Gerber, Vanessa; Souissi, Amal; Beil, Tanja; Jrad, Olfa; Straehle, Uwe; Masmoudi, Saber			Gene duplication and functional divergence of the zebrafish otospiralin genes	DEVELOPMENT GENES AND EVOLUTION			English	Article						Otospiralin; Otospiralin-like; Zebrafish; Inner ear; Kinocilia; Notochord	INNER-EAR PROTEIN; MOUSE MODEL; MUTATION; OTX1; EXPRESSION; FIBROCYTES; DEAFNESS; OTOS	Otospiralin (OTOSP) is a small protein of unknown function, expressed in fibrocytes of the inner ear and required for normal cochlear auditory function. Despite its conservation from fish to mammals, expression of otospiralin was only investigated in mammals. Here, we report for the first time the expression profile of OTOS orthologous genes in zebrafish (Danio rerio): otospiralin and si:ch73-23l24.1 (designated otospiralin-like). In situ hybridization analyses in zebrafish embryos showed a specific expression of otospiralin-like in notochord (from 14 to 48 hpf) and similar expression patterns for otospiralin and otospiralin-like in gut (from 72 to 120 hpf), swim bladder (from 96 to 120 hpf) and inner ear (at 120 hpf). Morpholino knockdown of otospiralin and otospiralin-like showed no strong change of the body structure of the embryos at 5 dpf and the inner ear was normally formed. Nevertheless, knockdown embryos showed a reduced number of kinocilia in the lateral crista, indicating that these genes play an important role in kinocilium formation. RT-qPCR revealed that otospiralin is highly expressed in adult zebrafish inner ear comparing to the others analyzed tissues as previously shown for mice. Interestingly, otospiralin-like was not detected in the inner ear which suggests that otospiralin have a more important function in hearing than otospiralin-like. Phylogenetic analysis of otospiralin proteins in vertebrates indicated the presence of two subgroups and supported the functional divergence observed in zebrafish for otospiralin and otospiralin-like genes. This study offers the first insight into the expression of otospiralin and otospiralin-like in zebrafish. Expression data point to an important role for otospiralin in zebrafish hearing and a specific role for otospiralin-like in notochord vacuolization.	[Baanannou, Aissette; Bouzid, Amal; Souissi, Amal; Jrad, Olfa; Masmoudi, Saber] Ctr Biotechnol Sfax, Lab Mol, Cellular Screening Processes, Sfax, Sfax, Tunisia; [Rastegar, Sepand; Takamiya, Masanari; Gerber, Vanessa; Beil, Tanja; Straehle, Uwe] Inst Toxicol, Karlsruhe Inst Technol, Genetics, DE-76021 Karlsruhe, Germany		Baanannou, A (corresponding author), Ctr Biotechnol Sfax, Lab Mol, Cellular Screening Processes, Sfax, Sfax, Tunisia.	aissette.baanannou@yahoo.fr	Rastegar, Sepand/E-2324-2015	Rastegar, Sepand/0000-0003-4411-5646; Takamiya, Masanari/0000-0002-6524-5813; Souissi, Amal/0000-0003-3838-1876				22	0	0	1	3	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	0949-944X	1432-041X		DEV GENES EVOL	Dev. Genes Evol.	JAN	2020	230	1					27	36		10.1007/s00427-019-00642-8			10	Cell Biology; Evolutionary Biology; Developmental Biology	Science Citation Index Expanded (SCI-EXPANDED)	Cell Biology; Evolutionary Biology; Developmental Biology	KJ4GO	WOS:000512016500003	31838648				2022-03-28	
J	Wang, JY; Yao, WX; Wang, Y; Fan, YL; Wu, JB				Wang, Ji-Ye; Yao, Wei-Xuan; Wang, Yun; Fan, Yi-lei; Wu, Jian-Bing			Network analysis reveals crosstalk between autophagy genes and disease genes	SCIENTIFIC REPORTS			English	Article							PROTEIN INTERACTION NETWORK; IMMUNE-RESPONSES; CANCER-CELLS; P53 STATUS; RESOURCE; STRESS; SYSTEM; ORGANIZATION; ACTIVATION; MODULARITY	Autophagy is a protective and life-sustaining process in which cytoplasmic components are packaged into double-membrane vesicles and targeted to lysosomes for degradation. Accumulating evidence supports that autophagy is associated with several pathological conditions. However, research on the functional cross-links between autophagy and disease genes remains in its early stages. In this study, we constructed a disease-autophagy network (DAN) by integrating known disease genes, known autophagy genes and protein-protein interactions (PPI). Dissecting the topological properties of the DAN suggested that nodes that both autophagy and disease genes (inter-genes), are topologically important in the DAN structure. Next, a core network from the DAN was extracted to analyze the functional links between disease and autophagy genes. The genes in the core network were significantly enriched in multiple disease-related pathways, suggesting that autophagy genes may function in various disease processes. Of 17 disease classes, 11 significantly overlapped with autophagy genes, including cancer diseases, metabolic diseases and hematological diseases, a finding that is supported by the literatures. We also found that autophagy genes have a bridging role in the connections between pairs of disease classes. Altogether, our study provides a better understanding of the molecular mechanisms underlying human diseases and the autophagy process.	[Wang, Ji-Ye; Yao, Wei-Xuan; Fan, Yi-lei; Wu, Jian-Bing] Zhejiang Police Coll, Criminal Sci & Technol Dept, 555 Binwen Rd, Hangzhou, Zhejiang, Peoples R China; [Wang, Yun] Xi An Jiao Tong Univ, Dept Gastroenterol, Affiliated Hosp 1, 277 Yanta West Rd, Xian, Shanxi, Peoples R China		Wang, JY (corresponding author), Zhejiang Police Coll, Criminal Sci & Technol Dept, 555 Binwen Rd, Hangzhou, Zhejiang, Peoples R China.	Wangjiye_poli@163.com		Wang, Jiye/0000-0002-5158-980X	National Key Research and Development Program of China [2016YFC0800906]; Technology Research Program of the Ministry of Public Security [2016JSYJA32]	Financial supported by the National Key Research and Development Program of China (No. 2016YFC0800906) and the Technology Research Program of the Ministry of Public Security (No. 2016JSYJA32) are gratefully acknowledged		44	4	4	0	9	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	2045-2322			SCI REP-UK	Sci Rep	MAR 15	2017	7								44391	10.1038/srep44391			9	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	EN9PB	WOS:000396331000001	28295050	Green Published, gold			2022-03-28	
J	Othman, M; Emsley, J				Othman, Maha; Emsley, Jonas			Gene of the issue: GP1BA gene mutations associated with bleeding	PLATELETS			English	Article						BSS; PT-VWD; platelet function defect; GPIba-VWF interaction	GAUCHER-DISEASE		[Othman, Maha] Queens Univ, Dept Biomed & Mol Sci, Fac Med, Kingston, ON, Canada; [Othman, Maha] St Lawrence Coll, Sch Baccalaureate Nursing, Kingston, ON, Canada; [Emsley, Jonas] Univ Nottingham, Sch Pharm, Ctr Biomol Sci, Univ Pk, Nottingham NG7 2RD, England		Othman, M (corresponding author), Queens Univ, Dept Biomed & Mol Sci, Fac Med, Kingston, ON, Canada.; Emsley, J (corresponding author), Univ Nottingham, Sch Pharm, Ctr Biomol Sci, Univ Pk, Nottingham NG7 2RD, England.	othman@queensu.ca; jonas.emsley@nottingham.ac.uk	emsley, jonas/A-8509-2016	emsley, jonas/0000-0002-8949-8030	British Heart FoundationBritish Heart Foundation [RG/12/9/29775] Funding Source: Medline			6	10	11	0	1	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	0953-7104	1369-1635		PLATELETS	Platelets		2017	28	8					832	836		10.1080/09537104.2017.1361526			5	Cell Biology; Hematology	Science Citation Index Expanded (SCI-EXPANDED)	Cell Biology; Hematology	FN4AK	WOS:000415944600013	28961024				2022-03-28	
J	Song, M; Han, NG; Kim, YH; Ding, Y; Chambers, T				Song, Min; Han, Nam-Gi; Kim, Yong-Hwan; Ding, Ying; Chambers, Tamy			Discovering Implicit Entity Relation with the Gene-Citation-Gene Network	PLOS ONE			English	Article							PROTEIN; CTCF; PHOSPHORYLATION; CYTOKINESIS; ASSOCIATION; CENTRALITY; AXIN; NDE1	In this paper, we apply the entitymetrics model to our constructed Gene-Citation-Gene (GCG) network. Based on the premise there is a hidden, but plausible, relationship between an entity in one article and an entity in its citing article, we constructed a GCG network of gene pairs implicitly connected through citation. We compare the performance of this GCG network to a gene-gene (GG) network constructed over the same corpus but which uses gene pairs explicitly connected through traditional co-occurrence. Using 331,411 MEDLINE abstracts collected from 18,323 seed articles and their references, we identify 25 gene pairs. A comparison of these pairs with interactions found in BioGRID reveal that 96% of the gene pairs in the GCG network have known interactions. We measure network performance using degree, weighted degree, closeness, betweenness centrality and PageRank. Combining all measures, we find the GCG network has more gene pairs, but a lower matching rate than the GG network. However, combining top ranked genes in both networks produces a matching rate of 35.53%. By visualizing both the GG and GCG networks, we find that cancer is the most dominant disease associated with the genes in both networks. Overall, the study indicates that the GCG network can be useful for detecting gene interaction in an implicit manner.	[Song, Min; Han, Nam-Gi; Kim, Yong-Hwan] Yonsei Univ, Dept Lib & Informat Sci, Seoul 120749, South Korea; [Ding, Ying; Chambers, Tamy] Indiana Univ, Dept Informat & Lib Sci, Bloomington, IN USA		Song, M (corresponding author), Yonsei Univ, Dept Lib & Informat Sci, Seoul 120749, South Korea.	min.song@yonsei.ac.kr	Han, Namgi/AAT-6380-2020	Song, Min/0000-0003-3255-1600; Chambers, Tamy/0000-0002-2891-6665	Bio & Medical Technology Development Program [2012048758]	This research was supported by the Bio & Medical Technology Development Program (2012048758). The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.		42	12	13	2	19	PUBLIC LIBRARY SCIENCE	SAN FRANCISCO	1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA	1932-6203			PLOS ONE	PLoS One	DEC 17	2013	8	12							e84639	10.1371/journal.pone.0084639			13	Multidisciplinary Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Science & Technology - Other Topics	276GT	WOS:000328737700103	24358368	Green Published, gold			2022-03-28	
J	Lythgoe, MP; Liu, DSK; Annels, NE; Krell, J; Frampton, AE				Lythgoe, Mark P.; Liu, Daniel Si Kit; Annels, Nicola E.; Krell, Jonathan; Frampton, Adam Enver			Gene of the month: lymphocyte-activation gene 3 (LAG-3)	JOURNAL OF CLINICAL PATHOLOGY			English	Review						lymphocytes; biomarkers; tumor; medical oncology; chemotherapy; cancer; regional perfusion	TUMOR-INFILTRATING LYMPHOCYTES; NEGATIVE REGULATORY FUNCTION; CD8(+) T-CELLS; EFFECTOR FUNCTION; EXPRESSION; CANCER; CD223; EXHAUSTION; COINCIDENT; CD4	Lymphocyte-activation gene 3 (LAG-3) is a coreceptor found on activated T-lymphocytes activated B-lymphocytes and natural killer (NK) cells. It is closely related to CD4 where it shares multiple common and divergent features. It contains specific binding sites with high affinity to major histocompatibility complex (MHC) Class II and functions as an inhibitor of T-cell signalling. Tumour-infiltrating lymphocytes with high LAG-3 expression have been found in many solid tumours including ovarian cancer, melanoma, colorectal cancer and haematological malignancies including Hodgkin and diffuse large B-cell lymphoma. LAG-3 antagonism has been demonstrated to restore the anti-tumourigenic function of T-cells in vivo, however, mechanistic knowledge remains relatively poorly defined. As other immune checkpoint inhibitors have transformed the management of difficult to treat cancers, such as melanoma, it is hoped that LAG-3 might have the same potential. This review will explore LAG-3 modulation as an anticancer therapy, highlighting recent clinical developments.	[Lythgoe, Mark P.; Liu, Daniel Si Kit; Krell, Jonathan; Frampton, Adam Enver] Imperial Coll London, Dept Surg & Canc, London, England; [Annels, Nicola E.; Frampton, Adam Enver] Univ Surrey, Fac Hlth & Med Sci, Dept Clin & Expt Med, Guildford, Surrey, England; [Frampton, Adam Enver] Royal Surrey NHS Fdn Trust, HPB Surg Unit, Guildford, Surrey, England		Frampton, AE (corresponding author), Imperial Coll London, Dept Surg & Canc, London, England.	frampton@imperial.ac.uk		Frampton, Adam/0000-0002-1392-2755; Liu, Daniel/0000-0002-4153-504X	Royal College of Surgeons of England	This study was funded by Royal College of Surgeons of England.		52	5	5	3	4	BMJ PUBLISHING GROUP	LONDON	BRITISH MED ASSOC HOUSE, TAVISTOCK SQUARE, LONDON WC1H 9JR, ENGLAND	0021-9746	1472-4146		J CLIN PATHOL	J. Clin. Pathol.	SEP	2021	74	9					543	547		10.1136/jclinpath-2021-207517			5	Pathology	Science Citation Index Expanded (SCI-EXPANDED)	Pathology	UO4GX	WOS:000694654700002	34183437				2022-03-28	
J	Zhao, YW; Fu, GY; Wang, J; Guo, MZ; Yu, GX				Zhao, Yingwen; Fu, Guangyuan; Wang, Jun; Guo, Maozu; Yu, Guoxian			Gene function prediction based on Gene Ontology Hierarchy Preserving Hashing	GENOMICS			English	Article						Gene Ontology; Gene function prediction; Hierarchy preserving hashing; Semantic similarity	PROTEIN FUNCTION; SIMILARITY; ANNOTATIONS; NETWORK; ASSOCIATIONS; SEQUENCE; FEATURES	Gene Ontology (GO) uses structured vocabularies (or terms) to describe the molecular functions, biological roles, and cellular locations of gene products in a hierarchical ontology. GO annotations associate genes with GO terms and indicate the given gene products carrying out the biological functions described by the relevant terms. However, predicting correct GO annotations for genes from a massive set of GO terms as defined by GO is a difficult challenge. To combat with this challenge, we introduce a Gene Ontology Hierarchy Preserving Hashing (HPHash) based semantic method for gene function prediction. HPHash firstly measures the taxonomic similarity between GO terms. It then uses a hierarchy preserving hashing technique to keep the hierarchical order between GO terms, and to optimize a series of hashing functions to encode massive GO terms via compact binary codes. After that, HPHash utilizes these hashing functions to project the gene-term association matrix into a low-dimensional one and performs semantic similarity based gene function prediction in the low-dimensional space. Experimental results on three model species (Homo sapiens, Mus musculus and Rattus norvegicus) for interspecies gene function prediction show that HPHash performs better than other related approaches and it is robust to the number of hash functions. In addition, we also take HPHash as a plugin for BLAST based gene function prediction. From the experimental results, HPHash again significantly improves the prediction performance. The codes of HPHash are available at:http://mlda.swu.edu.cn/codes.php?name=HPHash.	[Zhao, Yingwen; Fu, Guangyuan; Wang, Jun; Yu, Guoxian] Southwest Univ, Coll Comp & Informat Sci, Chongqing 400715, Peoples R China; [Guo, Maozu] Beijing Univ Civil Engn & Architecture, Sch Elect & Informat Engn, Beijing 100044, Peoples R China; [Guo, Maozu] Beijing Key Lab Intelligent Proc Bldg Big Data, Beijing 100044, Peoples R China		Yu, GX (corresponding author), Southwest Univ, Coll Comp & Informat Sci, Chongqing 400715, Peoples R China.; Guo, MZ (corresponding author), Beijing Univ Civil Engn & Architecture, Sch Elect & Informat Engn, Beijing 100044, Peoples R China.	guomaozu@bucea.edu.cn; gxyu@swu.edu.cn		Yu, Guoxian/0000-0002-1667-6705	Natural Science Foundation of ChinaNational Natural Science Foundation of China (NSFC) [61741217, 61402378, 61571163, 61532014, 61671189, 91735306, 61402132]; National Key Research and Development Plan Task of China [2016YFC0901902]; Natural Science Foundation of CQ CSTCNatural Science Foundation Project of CQ CSTC [cstc2016jcyjA0351]; Fundamental Research Funds for the Central Universities of ChinaFundamental Research Funds for the Central Universities [2362015XK07, XDJK2016B009]; Chongqing Graduate Student Research Innovation Project [CYS16070]	This work is supported by the Natural Science Foundation of China (61741217, 61402378, 61571163, 61532014, 61671189, 91735306 and 61402132), the National Key Research and Development Plan Task of China (Grant No. 2016YFC0901902), Natural Science Foundation of CQ CSTC (cstc2016jcyjA0351), Fundamental Research Funds for the Central Universities of China (2362015XK07 and XDJK2016B009) and Chongqing Graduate Student Research Innovation Project (CYS16070).		64	17	18	4	12	ACADEMIC PRESS INC ELSEVIER SCIENCE	SAN DIEGO	525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA	0888-7543	1089-8646		GENOMICS	Genomics	MAY	2019	111	3					334	342		10.1016/j.ygeno.2018.02.008			9	Biotechnology & Applied Microbiology; Genetics & Heredity	Science Citation Index Expanded (SCI-EXPANDED)	Biotechnology & Applied Microbiology; Genetics & Heredity	IC4AQ	WOS:000470905800015	29477548	Bronze			2022-03-28	
J	Mavilio, F				Mavilio, F.			GENE THERAPY FOR HEMOGLOBINOPATHIES: FROM GENE REPLACEMENT TO GENOME EDITING	HAEMATOLOGICA			English	Meeting Abstract	15th Congress of the Italian-Society-of-Experimental-Hematology	OCT 18-20, 2018	Rimini, ITALY	Italian Soc Expt Hematol					[Mavilio, F.] Univ Modena & Reggio Emilia, Modena, Italy; [Mavilio, F.] Univ Paris 05, Sorbonne Paris Cite, Paris, France; Imagine Inst, Paris, France									0	0	0	0	0	FERRATA STORTI FOUNDATION	PAVIA	VIA GIUSEPPE BELLI 4, 27100 PAVIA, ITALY	0390-6078			HAEMATOLOGICA	Haematologica	OCT 17	2018	103			3			S11	S11					1	Hematology	Science Citation Index Expanded (SCI-EXPANDED); Conference Proceedings Citation Index - Science (CPCI-S)	Hematology	HC3TM	WOS:000451725500013					2022-03-28	
